Indexcd,Idxtrd01
000300,2014-01-02
000300,2014-01-03
000300,2014-01-06
000300,2014-01-07
000300,2014-01-08
000300,2014-01-09
000300,2014-01-10
000300,2014-01-13
000300,2014-01-14
000300,2014-01-15
000300,2014-01-16
000300,2014-01-17
000300,2014-01-20
000300,2014-01-21
000300,2014-01-22
000300,2014-01-23
000300,2014-01-24
000300,2014-01-27
000300,2014-01-28
000300,2014-01-29
000300,2014-01-30
000300,2014-02-07
000300,2014-02-10
000300,2014-02-11
000300,2014-02-12
000300,2014-02-13
000300,2014-02-14
000300,2014-02-17
000300,2014-02-18
000300,2014-02-19
000300,2014-02-20
000300,2014-02-21
000300,2014-02-24
000300,2014-02-25
000300,2014-02-26
000300,2014-02-27
000300,2014-02-28
000300,2014-03-03
000300,2014-03-04
000300,2014-03-05
000300,2014-03-06
000300,2014-03-07
000300,2014-03-10
000300,2014-03-11
000300,2014-03-12
000300,2014-03-13
000300,2014-03-14
000300,2014-03-17
000300,2014-03-18
000300,2014-03-19
000300,2014-03-20
000300,2014-03-21
000300,2014-03-24
000300,2014-03-25
000300,2014-03-26
000300,2014-03-27
000300,2014-03-28
000300,2014-03-31
000300,2014-04-01
000300,2014-04-02
000300,2014-04-03
000300,2014-04-04
000300,2014-04-08
000300,2014-04-09
000300,2014-04-10
000300,2014-04-11
000300,2014-04-14
000300,2014-04-15
000300,2014-04-16
000300,2014-04-17
000300,2014-04-18
000300,2014-04-21
000300,2014-04-22
000300,2014-04-23
000300,2014-04-24
000300,2014-04-25
000300,2014-04-28
000300,2014-04-29
000300,2014-04-30
000300,2014-05-05
000300,2014-05-06
000300,2014-05-07
000300,2014-05-08
000300,2014-05-09
000300,2014-05-12
000300,2014-05-13
000300,2014-05-14
000300,2014-05-15
000300,2014-05-16
000300,2014-05-19
000300,2014-05-20
000300,2014-05-21
000300,2014-05-22
000300,2014-05-23
000300,2014-05-26
000300,2014-05-27
000300,2014-05-28
000300,2014-05-29
000300,2014-05-30
000300,2014-06-03
000300,2014-06-04
000300,2014-06-05
000300,2014-06-06
000300,2014-06-09
000300,2014-06-10
000300,2014-06-11
000300,2014-06-12
000300,2014-06-13
000300,2014-06-16
000300,2014-06-17
000300,2014-06-18
000300,2014-06-19
000300,2014-06-20
000300,2014-06-23
000300,2014-06-24
000300,2014-06-25
000300,2014-06-26
000300,2014-06-27
000300,2014-06-30
000300,2014-07-01
000300,2014-07-02
000300,2014-07-03
000300,2014-07-04
000300,2014-07-07
000300,2014-07-08
000300,2014-07-09
000300,2014-07-10
000300,2014-07-11
000300,2014-07-14
000300,2014-07-15
000300,2014-07-16
000300,2014-07-17
000300,2014-07-18
000300,2014-07-21
000300,2014-07-22
000300,2014-07-23
000300,2014-07-24
000300,2014-07-25
000300,2014-07-28
000300,2014-07-29
000300,2014-07-30
000300,2014-07-31
000300,2014-08-01
000300,2014-08-04
000300,2014-08-05
000300,2014-08-06
000300,2014-08-07
000300,2014-08-08
000300,2014-08-11
000300,2014-08-12
000300,2014-08-13
000300,2014-08-14
000300,2014-08-15
000300,2014-08-18
000300,2014-08-19
000300,2014-08-20
000300,2014-08-21
000300,2014-08-22
000300,2014-08-25
000300,2014-08-26
000300,2014-08-27
000300,2014-08-28
000300,2014-08-29
000300,2014-09-01
000300,2014-09-02
000300,2014-09-03
000300,2014-09-04
000300,2014-09-05
000300,2014-09-09
000300,2014-09-10
000300,2014-09-11
000300,2014-09-12
000300,2014-09-15
000300,2014-09-16
000300,2014-09-17
000300,2014-09-18
000300,2014-09-19
000300,2014-09-22
000300,2014-09-23
000300,2014-09-24
000300,2014-09-25
000300,2014-09-26
000300,2014-09-29
000300,2014-09-30
000300,2014-10-08
000300,2014-10-09
000300,2014-10-10
000300,2014-10-13
000300,2014-10-14
000300,2014-10-15
000300,2014-10-16
000300,2014-10-17
000300,2014-10-20
000300,2014-10-21
000300,2014-10-22
000300,2014-10-23
000300,2014-10-24
000300,2014-10-27
000300,2014-10-28
000300,2014-10-29
000300,2014-10-30
000300,2014-10-31
000300,2014-11-03
000300,2014-11-04
000300,2014-11-05
000300,2014-11-06
000300,2014-11-07
000300,2014-11-10
000300,2014-11-11
000300,2014-11-12
000300,2014-11-13
000300,2014-11-14
000300,2014-11-17
000300,2014-11-18
000300,2014-11-19
000300,2014-11-20
000300,2014-11-21
000300,2014-11-24
000300,2014-11-25
000300,2014-11-26
000300,2014-11-27
000300,2014-11-28
000300,2014-12-01
000300,2014-12-02
000300,2014-12-03
000300,2014-12-04
000300,2014-12-05
000300,2014-12-08
000300,2014-12-09
000300,2014-12-10
000300,2014-12-11
000300,2014-12-12
000300,2014-12-15
000300,2014-12-16
000300,2014-12-17
000300,2014-12-18
000300,2014-12-19
000300,2014-12-22
000300,2014-12-23
000300,2014-12-24
000300,2014-12-25
000300,2014-12-26
000300,2014-12-29
000300,2014-12-30
000300,2014-12-31
000300,2015-01-05
000300,2015-01-06
000300,2015-01-07
000300,2015-01-08
000300,2015-01-09
000300,2015-01-12
000300,2015-01-13
000300,2015-01-14
000300,2015-01-15
000300,2015-01-16
000300,2015-01-19
000300,2015-01-20
000300,2015-01-21
000300,2015-01-22
000300,2015-01-23
000300,2015-01-26
000300,2015-01-27
000300,2015-01-28
000300,2015-01-29
000300,2015-01-30
000300,2015-02-02
000300,2015-02-03
000300,2015-02-04
000300,2015-02-05
000300,2015-02-06
000300,2015-02-09
000300,2015-02-10
000300,2015-02-11
000300,2015-02-12
000300,2015-02-13
000300,2015-02-16
000300,2015-02-17
000300,2015-02-25
000300,2015-02-26
000300,2015-02-27
000300,2015-03-02
000300,2015-03-03
000300,2015-03-04
000300,2015-03-05
000300,2015-03-06
000300,2015-03-09
000300,2015-03-10
000300,2015-03-11
000300,2015-03-12
000300,2015-03-13
000300,2015-03-16
000300,2015-03-17
000300,2015-03-18
000300,2015-03-19
000300,2015-03-20
000300,2015-03-23
000300,2015-03-24
000300,2015-03-25
000300,2015-03-26
000300,2015-03-27
000300,2015-03-30
000300,2015-03-31
000300,2015-04-01
000300,2015-04-02
000300,2015-04-03
000300,2015-04-07
000300,2015-04-08
000300,2015-04-09
000300,2015-04-10
000300,2015-04-13
000300,2015-04-14
000300,2015-04-15
000300,2015-04-16
000300,2015-04-17
000300,2015-04-20
000300,2015-04-21
000300,2015-04-22
000300,2015-04-23
000300,2015-04-24
000300,2015-04-27
000300,2015-04-28
000300,2015-04-29
000300,2015-04-30
000300,2015-05-04
000300,2015-05-05
000300,2015-05-06
000300,2015-05-07
000300,2015-05-08
000300,2015-05-11
000300,2015-05-12
000300,2015-05-13
000300,2015-05-14
000300,2015-05-15
000300,2015-05-18
000300,2015-05-19
000300,2015-05-20
000300,2015-05-21
000300,2015-05-22
000300,2015-05-25
000300,2015-05-26
000300,2015-05-27
000300,2015-05-28
000300,2015-05-29
000300,2015-06-01
000300,2015-06-02
000300,2015-06-03
000300,2015-06-04
000300,2015-06-05
000300,2015-06-08
000300,2015-06-09
000300,2015-06-10
000300,2015-06-11
000300,2015-06-12
000300,2015-06-15
000300,2015-06-16
000300,2015-06-17
000300,2015-06-18
000300,2015-06-19
000300,2015-06-23
000300,2015-06-24
000300,2015-06-25
000300,2015-06-26
000300,2015-06-29
000300,2015-06-30
000300,2015-07-01
000300,2015-07-02
000300,2015-07-03
000300,2015-07-06
000300,2015-07-07
000300,2015-07-08
000300,2015-07-09
000300,2015-07-10
000300,2015-07-13
000300,2015-07-14
000300,2015-07-15
000300,2015-07-16
000300,2015-07-17
000300,2015-07-20
000300,2015-07-21
000300,2015-07-22
000300,2015-07-23
000300,2015-07-24
000300,2015-07-27
000300,2015-07-28
000300,2015-07-29
000300,2015-07-30
000300,2015-07-31
000300,2015-08-03
000300,2015-08-04
000300,2015-08-05
000300,2015-08-06
000300,2015-08-07
000300,2015-08-10
000300,2015-08-11
000300,2015-08-12
000300,2015-08-13
000300,2015-08-14
000300,2015-08-17
000300,2015-08-18
000300,2015-08-19
000300,2015-08-20
000300,2015-08-21
000300,2015-08-24
000300,2015-08-25
000300,2015-08-26
000300,2015-08-27
000300,2015-08-28
000300,2015-08-31
000300,2015-09-01
000300,2015-09-02
000300,2015-09-07
000300,2015-09-08
000300,2015-09-09
000300,2015-09-10
000300,2015-09-11
000300,2015-09-14
000300,2015-09-15
000300,2015-09-16
000300,2015-09-17
000300,2015-09-18
000300,2015-09-21
000300,2015-09-22
000300,2015-09-23
000300,2015-09-24
000300,2015-09-25
000300,2015-09-28
000300,2015-09-29
000300,2015-09-30
000300,2015-10-08
000300,2015-10-09
000300,2015-10-12
000300,2015-10-13
000300,2015-10-14
000300,2015-10-15
000300,2015-10-16
000300,2015-10-19
000300,2015-10-20
000300,2015-10-21
000300,2015-10-22
000300,2015-10-23
000300,2015-10-26
000300,2015-10-27
000300,2015-10-28
000300,2015-10-29
000300,2015-10-30
000300,2015-11-02
000300,2015-11-03
000300,2015-11-04
000300,2015-11-05
000300,2015-11-06
000300,2015-11-09
000300,2015-11-10
000300,2015-11-11
000300,2015-11-12
000300,2015-11-13
000300,2015-11-16
000300,2015-11-17
000300,2015-11-18
000300,2015-11-19
000300,2015-11-20
000300,2015-11-23
000300,2015-11-24
000300,2015-11-25
000300,2015-11-26
000300,2015-11-27
000300,2015-11-30
000300,2015-12-01
000300,2015-12-02
000300,2015-12-03
000300,2015-12-04
000300,2015-12-07
000300,2015-12-08
000300,2015-12-09
000300,2015-12-10
000300,2015-12-11
000300,2015-12-14
000300,2015-12-15
000300,2015-12-16
000300,2015-12-17
000300,2015-12-18
000300,2015-12-21
000300,2015-12-22
000300,2015-12-23
000300,2015-12-24
000300,2015-12-25
000300,2015-12-28
000300,2015-12-29
000300,2015-12-30
000300,2015-12-31
